2025-04-29 09:54:42.155 | INFO     | __main__:<module>:168 - [INFO] Arguments:
2025-04-29 09:54:42.175 | INFO     | __main__:<module>:169 - Input root: data/data_text
2025-04-29 09:54:42.178 | INFO     | __main__:<module>:170 - Output root: output/des4
2025-04-29 09:54:42.180 | INFO     | __main__:<module>:171 - Datasets: ['MAVEN', 'ACE']
2025-04-29 09:54:42.186 | INFO     | __main__:<module>:172 - Perms: [0, 1, 2, 3, 4]
2025-04-29 09:54:42.186 | INFO     | __main__:<module>:173 - Model: gemini-2.0-flash
2025-04-29 09:54:42.187 | INFO     | __main__:<module>:174 - Candidate: 5
2025-04-29 09:54:42.187 | INFO     | __main__:<module>:175 - Num try: 3
2025-04-29 09:54:42.188 | INFO     | __main__:<module>:176 - Max consecutive 429 error: 6
2025-04-29 09:54:42.188 | INFO     | __main__:<module>:177 - Max num threads: 0
2025-04-29 09:54:42.189 | INFO     | __main__:<module>:178 - Resume: True
2025-04-29 09:54:42.189 | INFO     | __main__:<module>:179 - Convert test: False
2025-04-29 09:54:42.189 | INFO     | __main__:<module>:180 - Logs dir: logs/extractor
2025-04-29 09:54:42.190 | INFO     | __main__:<module>:181 - Gen des: True
2025-04-29 09:54:42.191 | INFO     | __main__:<module>:182 - [INFO] Start processing...
2025-04-29 09:54:46.456 | INFO     | extractor.consumer:__init__:48 - [INFO] Found 1 valid extractors
2025-04-29 09:54:48.466 | INFO     | extractor.consumer:pause_threads:69 - [PAUSE] All threads paused
2025-04-29 09:54:48.469 | INFO     | extractor.consumer:__init__:55 - [START] Start 1 threads
2025-04-29 09:54:48.470 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-29 09:54:48.471 | INFO     | __main__:run:67 - Start processing output/des4\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl to output/des4\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl
2025-04-29 09:54:48.472 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-29 09:54:48.473 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing output/des4\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl...
2025-04-29 09:54:48.598 | INFO     | extractor.producer:produce:65 - [PRODUCING] Finished producing output/des4\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl with 280 item in 5 lines
2025-04-29 09:54:48.667 | INFO     | extractor.consumer:clear_results:83 - [CLEAR] All results cleared
2025-04-29 09:54:48.669 | INFO     | extractor.consumer:consume:182 - [CONSUMING] Start consuming.
2025-04-29 09:54:48.670 | INFO     | extractor.consumer:resume_threads:74 - [RESUME] All threads resumed
2025-04-29 09:54:50.686 | INFO     | extractor.consumer:pause_threads:69 - [PAUSE] All threads paused
2025-04-29 09:54:50.688 | INFO     | extractor.consumer:consume:203 - [FINISHED] Finished consuming 280/280 items with 0/280 remained items.
